#err,logdens
0.0,-inf
0.001,-inf
0.002,-inf
0.003,-inf
0.004,-inf
0.005,-inf
0.006,-inf
0.007,-inf
0.008,-inf
0.009000000000000001,-inf
0.01,-inf
0.011,-inf
0.012,-inf
0.013000000000000001,-inf
0.014,-inf
0.015,-inf
0.016,-inf
0.017,-inf
0.018000000000000002,-inf
0.019,-inf
0.02,-inf
0.021,-inf
0.022,-inf
0.023,-inf
0.024,-inf
0.025,-inf
0.026000000000000002,-inf
0.027,-inf
0.028,-inf
0.029,-inf
0.03,-inf
0.031,-inf
0.032,-inf
0.033,-inf
0.034,-inf
0.035,-inf
0.036000000000000004,-inf
0.037,-inf
0.038,-inf
0.039,-inf
0.04,-inf
0.041,-inf
0.042,-inf
0.043000000000000003,-inf
0.044,-inf
0.045,-inf
0.046,-inf
0.047,-inf
0.048,-inf
0.049,-inf
0.05,-inf
0.051000000000000004,-inf
0.052000000000000005,-inf
0.053,-inf
0.054,-inf
0.055,-inf
0.056,-inf
0.057,-inf
0.058,-inf
0.059000000000000004,-inf
0.06,-inf
0.061,-inf
0.062,-inf
0.063,-inf
0.064,-inf
0.065,-inf
0.066,-inf
0.067,-inf
0.068,-inf
0.069,-inf
0.07,-inf
0.07100000000000001,-inf
0.07200000000000001,-inf
0.073,-inf
0.074,-inf
0.075,-inf
0.076,-inf
0.077,-inf
0.078,-inf
0.079,-inf
0.08,-inf
0.081,-inf
0.082,-inf
0.083,-inf
0.084,-inf
0.085,-inf
0.08600000000000001,-inf
0.08700000000000001,-inf
0.088,-inf
0.089,-inf
0.09,-inf
0.091,-inf
0.092,-inf
0.093,-inf
0.094,-inf
0.095,-inf
0.096,-inf
0.097,-inf
0.098,-inf
0.099,-inf
0.1,-inf
0.101,-inf
0.10200000000000001,-inf
0.10300000000000001,-inf
0.10400000000000001,-inf
0.105,-inf
0.106,-inf
0.107,-inf
0.108,-inf
0.109,-inf
0.11,-inf
0.111,-inf
0.112,-inf
0.113,-inf
0.114,-inf
0.115,-inf
0.116,-inf
0.117,-inf
0.11800000000000001,-inf
0.11900000000000001,-inf
0.12,-inf
0.121,-inf
0.122,-inf
0.123,-inf
0.124,-inf
0.125,-inf
0.126,-inf
0.127,-inf
0.128,-inf
0.129,-inf
0.13,-inf
0.131,-inf
0.132,-inf
0.133,-inf
0.134,-inf
0.135,-inf
0.136,-inf
0.137,-inf
0.138,-inf
0.139,-inf
0.14,-inf
0.14100000000000001,-inf
0.14200000000000002,-inf
0.14300000000000002,-inf
0.14400000000000002,-inf
0.145,-inf
0.146,-inf
0.147,-inf
0.148,-inf
0.149,-inf
0.15,-inf
0.151,-inf
0.152,-inf
0.153,-inf
0.154,-inf
0.155,-inf
0.156,-inf
0.157,-inf
0.158,-inf
0.159,-inf
0.16,-inf
0.161,-inf
0.162,-inf
0.163,-inf
0.164,-inf
0.165,-inf
0.166,-inf
0.167,-inf
0.168,-inf
0.169,-inf
0.17,-inf
0.171,-inf
0.17200000000000001,-inf
0.17300000000000001,-inf
0.17400000000000002,-inf
0.17500000000000002,-inf
0.176,-inf
0.177,-inf
0.178,-inf
0.179,-inf
0.18,-inf
0.181,-inf
0.182,-inf
0.183,-inf
0.184,-inf
0.185,-inf
0.186,-inf
0.187,-inf
0.188,-inf
0.189,-inf
0.19,-inf
0.191,-inf
0.192,-inf
0.193,-inf
0.194,-inf
0.195,-inf
0.196,-15.03545975035408
0.197,-11.306262749154776
0.198,-9.510962116206477
0.199,-8.170912038900763
0.2,-7.155773932698377
0.201,-6.15854661644288
0.202,-5.263172744177595
